Date,Trend,Seasonality,Noise,Sales
2004/6/1,1000,0,24.83570765,1024.835708
2004/7/1,1000.05,100,-6.913215059,1093.136785
2004/8/1,1000.1,173.2050808,32.38442691,1205.689508
2004/9/1,1000.15,200,76.15149282,1276.301493
2004/10/1,1000.2,173.2050808,-11.70766874,1161.697412
2004/11/1,1000.25,100,-11.70684785,1088.543152
2004/12/1,1000.3,2.45E-14,78.96064078,1079.260641
2005/1/1,999.75,-100,38.37173646,938.1217365
2005/2/1,999.8,-173.2050808,-23.4737193,803.1211999
2005/3/1,999.85,-200,27.12800218,826.9780022
2005/4/1,999.9,-173.2050808,-23.17088464,803.5240346
2005/5/1,999.95,-100,-23.28648768,876.6635123
2005/6/1,1000,0,12.09811358,1012.098114
2005/7/1,1000.05,100,-95.66401223,1004.385988
2005/8/1,1000.1,173.2050808,-86.24589163,1087.059189
2005/9/1,1000.15,200,-28.11437646,1172.035624
2005/10/1,1000.2,173.2050808,-50.64155602,1122.763525
2005/11/1,1000.25,100,15.71236663,1115.962367
2005/12/1,1000.3,2.45E-14,-45.40120378,954.8987962
2006/1/1,999.75,-100,-70.61518507,829.1348149
2006/2/1,999.8,-173.2050808,73.28243845,899.8773577
2006/3/1,999.85,-200,-11.28881502,788.561185
2006/4/1,999.9,-173.2050808,3.376410234,830.0713295
2006/5/1,999.95,-100,-71.23740931,828.7125907
2006/6/1,1000,0,-27.21913623,972.7808638
2006/7/1,1000.05,100,5.546129485,1105.596129
2006/8/1,1000.1,173.2050808,-57.54967887,1115.755402
2006/9/1,1000.15,200,18.78490092,1218.934901
2006/10/1,1000.2,173.2050808,-30.0319345,1143.373146
2006/11/1,1000.25,100,-14.58468749,1085.665313
2006/12/1,1000.3,2.45E-14,-30.08533061,970.2146694
2007/1/1,999.75,-100,92.61390923,992.3639092
2007/2/1,999.8,-173.2050808,-0.674861237,825.920058
2007/3/1,999.85,-200,-52.88554645,746.9644536
2007/4/1,999.9,-173.2050808,41.12724561,867.8221648
2007/5/1,999.95,-100,-61.0421825,838.9078175
2007/6/1,1000,0,10.44317975,1010.44318
2007/7/1,1000.05,100,-97.98350619,1002.066494
2007/8/1,1000.1,173.2050808,-66.40930244,1106.895778
2007/9/1,1000.15,200,9.843061793,1209.993062
2007/10/1,1000.2,173.2050808,36.923329,1210.32841
2007/11/1,1000.25,100,8.568414059,1108.818414
2007/12/1,1000.3,2.45E-14,-5.782414119,994.5175859
2008/1/1,999.75,-100,-15.05518478,884.6948152
2008/2/1,999.8,-173.2050808,-73.92609952,752.6688197
2008/3/1,999.85,-200,-35.99221042,763.8577896
2008/4/1,999.9,-173.2050808,-23.03193855,803.6629807
2008/5/1,999.95,-100,52.85611131,952.8061113
2008/6/1,1000,0,17.18091448,1017.180914
2008/7/1,1000.05,100,-88.15200777,1011.897992
